"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","E. A. Villegas-Jiménez; A. Romo-Cabrera; M. A. Manzano-Calixto; L. M. Tello-Aguilera; A. K. Sánchez-Mata; A. Robles-Guerrero; P. M. Hernández-Ruiz","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","In today’s digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472089","deep fake;encryption;hormomorphic encryption;artificial intelligence;symmetric encryption;asymmetric encryption;multimedia files","Filtering;Filters;Deepfakes;Protocols;Videos;Cyberspace;Mobile handsets;Social computing;Cyberbullying;Communication systems","","","","31","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Symmetric Cipher for Grayscale Images Based on Quantum Differential Geometry","E. Gonzalez-Ramos; L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustino-Morales","Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Facultad de Ciencias Ciudad de Mexico, Universidad Nacional Autonoma de Mexico, Mexico","2024 21st International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","4 Dec 2024","2024","","","1","6","The increase in information technologies has generated the need to implement new methodologies to secure the exchange of information. This paper proposes a cryptographic algorithm based on the use of quantum differential geometry operators. These operators exhibit mathematical behaviors similar to quantum behavior, with the advantage that specialized equipment is not required to perform the encryption process. The algorithm is composed of two phases: In the first phase, a subkey is generated through an addition and multiplication process in Z_16 based on a user-defined key. In the second phase, three types of fundamental quantum operators are employed: creation, annihilation, and crossing, which are sequentially connected. The specific selection and configuration of these operators are based on their ability to avoid generating correlation between the data. The method proposed in this work is implemented using grayscale images, obtaining the Peak Signal-to-Noise Ratio (PSNR), the Structural Similarity Index Measure (SSIM), and the Correlation Value, in order to evaluate the fidelity and integrity of the recovered images.","2642-3766","979-8-3503-7754-5","10.1109/CCE62852.2024.10770909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770909","Subkey Generation;Quantum Operators;Grayscale Images;Configurable Cipher;Finite Fields","Geometry;Ciphers;Visualization;PSNR;Correlation;Quantum computing;Merging;Gray-scale;Encryption;Proposals","","","","9","IEEE","4 Dec 2024","23-25 Oct. 2024","23-25 Oct. 2024","IEEE","IEEE Conferences"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde","SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","32","36","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575","Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding","Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding","L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustinos-Morales","Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Universidad Nacional Autónoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","16","20","With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353827","Instituto Politécnico Nacional; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353827","Braided Quantum;Quantum Operators;Dynamic Matrices;Finite Fields","Visualization;Steganography;Signal processing algorithms;Color;Signal processing;Robustness;Real-time systems;Encryption;Data mining;Protection","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Tensorization of $f$-Divergences","R. Cruz; M. Diaz; F. P. Calmon","Harvard University, Cambridge, MA, USA; Universidad Nacional Autónoma de México, Mexico City, Mexico; Harvard University, Cambridge, MA, USA",2025 IEEE International Symposium on Information Theory (ISIT),"20 Oct 2025","2025","","","1","6","In many applications across statistics, differential privacy, and machine learning, it is necessary to evaluate or bound an $f$-divergence between distributions of random vectors with independent components. Even for relatively simple distributions, such computations can become intractable unless the chosen $f$-divergence tensorizes. In this work, we introduce a formal definition of tensorization for $f$-divergences and present a necessary condition under which such tensorization can occur. Moreover, we demonstrate—under certain assumptions—that the only $f$-divergences admitting a polynomial tensorization formula of degree at most two are, essentially, the KL divergence, cross-entropy, and Hellinger divergences of order $\alpha$. Taken together, our findings represent an initial step toward a complete characterization of $f$-divergences that tensorize.","2157-8117","979-8-3315-4399-0","10.1109/ISIT63088.2025.11195387","National Science Foundation(grant numbers:CIF 2312667,FAI 2040880,CIF 2231707); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11195387","f-divergence;tensorization","Differential privacy;Additives;Total variance;Machine learning;Polynomials;Vectors;Information theory","","","","22","IEEE","20 Oct 2025","22-27 June 2025","22-27 June 2025","IEEE","IEEE Conferences"
"Grid-Forming and BESS: Review of Advances and Challenges","J. Galvez-García; V. Torres-García; J. R. Rodríguez; H. F. Ruíz-Paredes","TecNM/Instituto Tecnológico de Morelia; TecNM/Instituto Tecnológico de Morelia; Universidad Nacional Autónoma de México, UNAM; TecNM/Instituto Tecnológico de Morelia","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","8","The massive integration of renewable energies has drastically reduced mechanical inertia in power systems, compromising frequency stability. In response to this challenge, Grid-Forming Inverters (GFM) and Battery Energy Storage Systems (BESS) emerge as key technologies: the former emulate the inertial response of synchronous generators, while the latter provide fast active power adjustments to maintain frequency at nominal values. In this context, this work presents a review of these technologies, focusing on control strategies for GFM and BESS, with an emphasis on active power injection schemes and primary frequency regulation. Proposed approaches in the literature are reviewed to address operational challenges, such as the dynamic coordination between both technologies and harmonic suppression in weak grids. Furthermore, relevant technological gaps are discussed in areas such as standardization, fault resilience, and cybersecurity, among others, identifying key opportunities for future research. Through a comparative analysis of recent studies, this work synthesizes lessons learned and highlights the main opportunities for the effective integration of GFM and BESS in grids with high renewable penetration.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11353974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353974","Inverter Grid-Forming;BESS;RoCoF","Renewable energy sources;Harmonics suppression;Reviews;Power system dynamics;Standardization;Power system stability;Synchronous generators;Stability analysis;Grid forming;Resilience","","","","0","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"Enhancing the Capacity and Robustness of an LSB Algorithm Using a Novel Insertion Method, Hashing Function, and Secret Key","A. I. H. Al-Jarah; J. L. Ortega-Arjona","Postgraduate in Science and Computing Engineering, National Autonomous University of Mexico (UNAM), Mexico City, Mexico; Mathematics Department, Science Faculty, National Autonomous University of Mexico (UNAM), Mexico City, Mexico",IEEE Access,"6 Nov 2024","2024","12","","159534","159544","Steganography hides a secret message inside another medium (cover-image) while maintaining imperceptibility and/or robustness/embedding capacity, making it a suitable candidate for keeping information safe and hiding the existence of data itself inside another medium. Secret data is susceptible to attacks or may be modified while steg-image is transiting through the Internet. The present paper explains how secret key steganography uses a new insertion method to hide information inside an image and a hashing function applied on the secret data. The SHA 256 function detects errors in data and assures its arrival without modifications. The proposed algorithm improves the security level by adding a robustness parameter (secret key and hash function) and creating a new insertion method that doubles the cover-image capacity to hide a secret message inside a color image compared with LSB, useful for keeping sensitive, relevant, and important information invulnerable. The results are compared with the LSB algorithm and related work in terms of the peak signal to noise ratio (PSNR) values, cover-image maximum capacity (MX), image quality index (Q), bit per pixel (BPP), processing time and robustness, showing that the proposed algorithm has a great balance between capacity and PSNR (big capacity with high PSNR level). It also increases the robustness level using secret key and hash function without affecting image imperceptibility. The proposed algorithm speed is outstanding, despite having complex calculations. This makes it eligible to be used in online platforms.","2169-3536","","10.1109/ACCESS.2024.3483832","Consejo Nacional de Ciencia y Tecnología México (CONACYT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723287","Hiding data;image steganography;improve capacity;insertion method;robustness;secret key steganography;steganography","Steganography;Robustness;Image color analysis;PSNR;Receivers;Transforms;Payloads;Discrete cosine transforms;Color;Vectors","","7","","25","CCBYNCND","21 Oct 2024","2024","","IEEE","IEEE Journals"
"$\mathrm{E}_{\gamma}$-Mixing Time","B. Zamanlooy; S. Asoodeh; M. Diaz; F. P. Calmon","Department of Computing and Software, McMaster University, Canada; Department of Computing and Software, McMaster University, Canada; IIMAS, Universidad Nacional Autónoma de México, Mexico; School of Engineering and Applied Sciences, Harvard University, USA",2024 IEEE International Symposium on Information Theory (ISIT),"19 Aug 2024","2024","","","3474","3479","We investigate the mixing times of Markov kernels under $\mathsf{E}_{\gamma}-\mathbf{divergence}$. We demonstrate that the zero-error $\mathsf{E}_{\gamma}- \mathbf{mixing}$ time, for any $\gamma > 1$, of irreducible and aperiodic Markov chains, is bounded, a property that is not shared by the TV-mixing time. We further obtain upper bounds on the $\mathsf{E}_{\gamma}-\mathbf{mixing}$ times for a broad family of contractive Markov kernels via a new non-linear strong data processing inequality for the $\mathsf{E}_{\gamma}- \mathbf{divergence}$. We apply our results to derive new bounds for the local differential privacy guarantees offered by the sequential application of a privacy mechanism to data.","2157-8117","979-8-3503-8284-6","10.1109/ISIT57864.2024.10619250","NSF(grant numbers:CAREER-1845852,CIF-1900750,CIF-2231707,CIF-2312667); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10619250","","Differential privacy;Upper bound;Data processing;Kernel;Information theory","","","","30","IEEE","19 Aug 2024","7-12 July 2024","7-12 July 2024","IEEE","IEEE Conferences"
"Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","A. E. Godínez; J. L. Garza Rivera; D. T. Varela","CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","94","102","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499","Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security","Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review","","","","21","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"On the Privacy Guarantees of Differentially Private Stochastic Gradient Descent","S. Asoodeh; M. Diaz","Department of Computing and Software, McMaster University, Canada; IIMAS, Universidad Nacional Autónoma de México, Mexico",2024 IEEE International Symposium on Information Theory (ISIT),"19 Aug 2024","2024","","","380","385","Differentially Private Stochastic Gradient Descent (DP-SGD) is a widely adopted algorithm for privately training machine learning models. An inherent feature of this algorithm is the incorporation of gradient clipping to counteract the influence of individual samples during training. Nevertheless, the introduction of gradient clipping also introduces non-convexity into the problem, rendering it challenging to derive upper bounds on the privacy loss. In this paper, we establish effective upper bounds for the privacy loss of both projected DP-SGD and regularized DP-SGD, without relying on convexity or smoothness assumptions regarding the loss function. Our approach involves a direct analysis of the hockey-stick divergence between coupled stochastic processes through the application of nonlinear data processing inequalities.","2157-8117","979-8-3503-8284-6","10.1109/ISIT57864.2024.10619520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10619520","","Training;Privacy;Upper bound;Machine learning algorithms;Stochastic processes;Machine learning;Rendering (computer graphics)","","","","17","IEEE","19 Aug 2024","7-12 July 2024","7-12 July 2024","IEEE","IEEE Conferences"
"Energy Analysis of a Broadcast MAC Protocol for IEEE 802.11bc Enhanced Broadcast Services","A. Boujnoui; J. J. C. Escoto; J. Gómez; L. Orozco-Barbosa; A. Haqiq","Department of Mathematics, MASD Group, LMPA Laboratory, Faculty of Sciences and Technology, Moulay Ismail University of Meknes, Errachidia, Morocco; Department of Computer Engineering, National Autonomous University of Mexico, Mexico; Department of Telecommunications Engineering, National Autonomous University of Mexico, Mexico; Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, Spain; Faculty of Sciences and Techniques, Computer, Networks, Mobility and Modeling Laboratory: IR2M, Hassan First University of Settat, Settat, Morocco",2025 14th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks (PEMWN),"29 Dec 2025","2025","","","1","6","In this paper, we conduct an energy consumption analysis of a broadcast access mechanism over IEEE 802.11 networks. By assuming non-saturated conditions, we provide a statistical model of the energy consumed during one cycle period, defined as the duration between two successful broadcast transmissions. The model includes a characterization of the medium access transmission mechanism. Our results show that the broadcast protocol is a good candidate to be included in future amendments of the IEEE 802.11 standard.","","978-3-903176-76-8","10.23919/PEMWN67312.2025.11304070","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11304070","Energy consumption;Broadcast;Unicast;DCF;Markov model","Performance evaluation;Energy consumption;Analytical models;Protocols;Unicast;Wireless networks;Media Access Control;IEEE 802.11 Standard","","","","8","","29 Dec 2025","25-27 Nov. 2025","25-27 Nov. 2025","IEEE","IEEE Conferences"
"Laser-Inscribed Flexible Bragg Gratings Containing Silicon Oxynitride Doped Silicon Thin Film for Authentication Applications and Their Electronic and Structural Properties from X-Ray Absorption Spectroscopy and Ab Initio Calculations","A. Karatutlu; T. E. Tabaru; U. Taylan; Z. G. Mutlay; D. H. Özbey; H. -R. Bahari; E. K. Tekgül; A. Budnyk; M. F. Genisel; Z. R. Öztürk; E. Durgun; B. Ortaç","National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; Synchrotron-light for Experimental Science and Applications in the Middle East, Allan, Jordan; Synchrotron-light for Experimental Science and Applications in the Middle East, Allan, Jordan; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey; National Nanotechnology Research Center (UNAM), Institute of Materials Science Nanotechnology, Bilkent University, Ankara, Turkey",2025 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),"15 Aug 2025","2025","","","1","1","The incorporation of silicon oxynitride (SiON) into silicon (Si) allows us to create a unique material in the field of Si photonics with tunable optical properties [1]. Conventional materials like SixNy, SiOxNy, and Si-rich Si3N4 are utilized for their mechanical robustness, thermal stability, chemical resistance, electrical insulation, and optical transparency [2], [3]. This study presents innovative advancements in silicon photonics through the synthesis of silicon oxynitride-doped silicon (SiON-doped Si) on flexible substrates, enabling the development of distributed Bragg gratings (BGs) for anti-counterfeiting applications. Utilizing a modified plasma-enhanced chemical vapor deposition system, we achieved low-temperature fabrication of SiON-doped Si, which exhibits a refractive index range from 2.1 to 2.5 at the wavelength of 1310 nm and unique photosensitivity properties across various wavelengths. Our research demonstrates that these flexible BGs can be inscribed with femtosecond laser light, allowing for the encoding of micro-information that is observable under specific viewing angles and light conditions due to change in the absorption of the photosensitive SiON-doped Si thin films layers. The structural integrity and optical characteristics of the BGs were thoroughly analyzed using soft X-ray absorption spectroscopy, Raman spectroscopy, and grazing incidence X-ray diffraction, confirming their potential for high-performance applications in lasers and spectrometers. The findings indicate that the incorporation of SiON-doped Si in wearable technologies not only enhances authentication mechanisms but also opens new avenues for versatile optical devices. This work lays the groundwork for future explorations into advanced materials systems in silicon photonics [4], emphasizing the role of SiON-doped Si in enhancing security features in consumer products.","2833-1052","979-8-3315-1252-1","10.1109/CLEO/Europe-EQEC65582.2025.11109723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11109723","","Spectroscopy;Absorption;Optical device fabrication;X-ray lasers;Optical variables control;Silicon;Ultrafast optics;Optical refraction;Optical films;Thermal stability","","","","4","IEEE","15 Aug 2025","23-27 June 2025","23-27 June 2025","IEEE","IEEE Conferences"
"Compressive Ghost Imaging with Customized Speckles","E. Sünnetci; H. Alιcι; A. S. Başdemirci; H. Yilmaz","UNAM - Institute of Materias Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materias Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materias Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materias Science and Nanotechnology, Bilkent University, Ankara, Türkiye",2025 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),"15 Aug 2025","2025","","","1","1","Speckle patterns arise when coherent light reflects from rough surfaces or propagates through complex scattering media, such as disordered materials or multimode fibers. These patterns exhibit a random granular structure, with their statistical properties typically following Rayleigh statistics. The probability density function (PDF) of the complex field conforms to a circular Gaussian distribution, while the intensity PDF follows a negative exponential distribution. Wavefront shaping techniques can modify these statistical properties by controlling wavefront intensity, polarization, or phase [1], enabling diverse applications, including advanced imaging, cryptography, and optical communications. Compressive ghost imaging (CGI) leverages speckle patterns for image reconstruction using a bucket detector instead of a traditional camera [2]. This technique relies on compressive sensing, which exploits object sparsity to achieve accurate image reconstruction with fewer measurements. CGI is particularly advantageous in challenging environments, such as imaging through highly scattering or dynamic media.","2833-1052","979-8-3315-1252-1","10.1109/CLEO/Europe-EQEC65582.2025.11111123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11111123","","Image coding;Scattering;Probability density function;Speckle;Media;Optical fiber communication;Surface roughness;Rough surfaces;Image reconstruction;Optical surface waves","","","","5","IEEE","15 Aug 2025","23-27 June 2025","23-27 June 2025","IEEE","IEEE Conferences"
"Fast and Efficient Speckle Customization with Binary Amplitude Modulation","H. Alıcı; E. Sünnetci; A. S. Başdemirci; H. Yılmaz","UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Türkiye; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Türkiye",2025 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),"15 Aug 2025","2025","","","1","1","Speckle patterns formed by light scattering through disordered media have a wide range of applications, from imaging [1] to cryptography [2]. However, tailoring these patterns to meet specific requirements presents a significant challenge. Traditional approaches, such as phase-only modulation using liquid crystal-based spatial light modulators (LC-SLMs) [3], [4] are limited by their slow response times (30–100 Hz), while Digital Micromirror Device (DMD)-based methods [5] often suffer from low diffraction efficiency, typically below 5% [6]. Here, we aim to overcome these limitations by developing a fast and efficient method for speckle customization using binary amplitude modulation with a DMD and a diffuser. By utilizing the high-speed modulation capabilities of the DMD, which can operate at rates up to 50 kHz, and the light-scattering properties of a diffuser, our proposed method has the potential to achieve diffraction efficiencies of up to 50% while enabling the customization of speckle patterns.","2833-1052","979-8-3315-1252-1","10.1109/CLEO/Europe-EQEC65582.2025.11110337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11110337","","Phase modulation;Diffraction;Light scattering;Imaging;Speckle;Media;Amplitude modulation;Liquid crystal devices;Time factors;Micromirrors","","","","8","IEEE","15 Aug 2025","23-27 June 2025","23-27 June 2025","IEEE","IEEE Conferences"
"Invited Paper: Further Decentralizing Decentralized Finance: Loss vs Rebalancing Without a Shared Reference Market","M. Herlihy; S. Rajsbaum","Computer Science Department, Brown University, Providence, USA; Instituto de Matemáticas UNAM, Mexico City, Mexico",2024 6th Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS),"8 Nov 2024","2024","","","1","10","Automated market makers (AMMs) typically rely on arbitrage agents to keep prices in line with a shared reference market such as a large centralized exchange. This paper considers an alternative, even-more-decentralized model where prices must stabilize without a shared reference market.We first consider a model where there is one population of AMMs, and another of arbitrage agents who seek to profit from pairwise price differences between randomly-chosen AMMs. For constant-product AMMs, repeated random pair-wise arbitrage causes the AMMs’ expected prices to converge within any precision ϵ > 0 in $\Theta \left( {\max \left( {{n^2}\log n,\log \frac{1}{\varepsilon }} \right)} \right.$ interactions, and arbitrage agents’ profits are proportional to the original price imbalances. Within certain limits, the arbitrage agents can collude to set the final stable price.If, instead, randomly-chosen pairs of AMMs could rebalance their asset pools directly, capturing profits that would have gone to arbitrage agents, then expected AMM prices converge within ϵ with respective upper and lower bounds of $\Omega \left( {\max \left( {{n^2}\log n,\log \frac{1}{\varepsilon }} \right)} \right.$ and $O\left( {\max \left( {{n^2}\log n,\log \frac{1}{\varepsilon }} \right)} \right.$ interactions. Within certain limits, the AMMs can collude to set the final stable price.","2835-3021","979-8-3503-6784-3","10.1109/BRAINS63024.2024.10732462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10732462","component;formatting;style;styling;insert","Analytical models;Protocols;Closed-form solutions;Finance;Stochastic processes;Decentralized applications;Particle measurements;Proposals;Financial services;Convergence","","","","28","IEEE","8 Nov 2024","9-11 Oct. 2024","9-11 Oct. 2024","IEEE","IEEE Conferences"
