"indice","Titulo","Año","Autor_norm","Afiliacion1","Afiliacion2","ISBN","ISSN","Doi","URL","Area","Subarea","Keywords","Abstract"
"1","Uncertainty Quantification of the Hypervolume for Evolutionary Multi-Objective Reinforcement Learning","2025","Millán Prado, Alberto Maximiliano; Hernández Castellanos, Carlos Ignacio","Alberto Maximiliano Millán Prado: Universidad Nacional Autónoma de México, IIMAS, Ciudad de México, México; Carlos Ignacio Hernández Castellanos: Universidad Nacional Autónoma de México, IIMAS, Ciudad de México, México","N/D","979-8-4007-1464-1","N/D","10.1145/3712255.3726775","https://doi.org/10.1145/3712255.3726775","IA","","multi-objective; reinforcement learning; evolutionary algorithms; hypervolume optimization","Many real-world problems involve optimizing multiple conflicting objectives simultaneously, often by a series of decisions. Multi-objective reinforcement learning addresses these challenges by training agents to learn policies that balance multiple reward signals from the environment. In recent years, the community has increasingly paid attention to these problems. However, the necessity for more effective solutions persists. In this context, we propose a methodology for approximating optimal policies using evolutionary algorithms. Our approach enhances the search process by leveraging uncertainty quantification in the hypervolume computation of candidate solutions. We adapt the classical evolutionary process, changing the evaluation of agents to prioritize those contributing more to the hypervolume and using uncertainty quantification as a guiding metric. Further, we analyzed four evolutionary algorithms under different uncertainty measures and tested them in diverse multi-objective reinforcement learning environments with up to four objectives. The work revealed that the expected improvement was the most effective uncertainty quantification for guiding the search across all algorithms."
"2","The Impact of Generative AI Coding Assistants on Developers Who Are Visually Impaired","2025","Flores-Saviaga, Claudia; Hanrahan, Benjamin V.; Imteyaz, Kashif; Clarke, Steven; Savage, Saiph","Claudia Flores-Saviaga: Northeastern University, Boston, Massachusetts, USA; Benjamin V. Hanrahan: Microsoft, Redmond, Washington, USA; Kashif Imteyaz: Northeastern University, Boston, Massachusetts, USA; Steven Clarke: Microsoft, Edinburgh, United Kingdom; Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","N/D","979-8-4007-1394-1","N/D","10.1145/3706598.3714008","https://doi.org/10.1145/3706598.3714008","IA","","generative ai; accessibility; ai coding assistants; assistive technology","The rapid adoption of generative AI in software development has impacted the industry, yet its effects on developers with visual impairments remain largely unexplored. To address this gap, we used an Activity Theory framework to examine how developers with visual impairments interact with AI coding assistants. For this purpose, we conducted a study where developers who are visually impaired completed a series of programming tasks using a generative AI coding assistant. We uncovered that, while participants found the AI assistant beneficial and reported significant advantages, they also highlighted accessibility challenges. Specifically, the AI coding assistant often exacerbated existing accessibility barriers and introduced new challenges. For example, it overwhelmed users with an excessive number of suggestions, leading developers who are visually impaired to express a desire for “AI timeouts.” Additionally, the generative AI coding assistant made it more difficult for developers to switch contexts between the AI-generated content and their own code. Despite these challenges, participants were optimistic about the potential of AI coding assistants to transform the coding experience for developers with visual impairments. Our findings emphasize the need to apply activity-centered design principles to generative AI assistants, ensuring they better align with user behaviors and address specific accessibility needs. This approach can enable the assistants to provide more intuitive, inclusive, and effective experiences, while also contributing to the broader goal of enhancing accessibility in software development."
"3","Benchmarking MOEAs for solving continuous multi-objective RL problems","2025","Hernández Castellanos, Carlos Ignacio; Santana Hermida, Roberto","Carlos Ignacio Hernández Castellanos: Applied Mathematics and Systems Research Institute, National Autonomous University of Mexico, Mexico City, Mexico; Roberto Santana Hermida: Intelligent Systems Group (ISG), University of the Basque Country (UPV/EHU), San Sebastian, Spain","N/D","979-8-4007-1464-1","N/D","10.1145/3712255.3726699","https://doi.org/10.1145/3712255.3726699","IA","","reinforcement learning; MOEAs; benchmarking","Multi-objective reinforcement learning (MORL) addresses the challenge of simultaneously optimizing multiple, often conflicting, rewards, moving beyond the single-reward focus of conventional reinforcement learning (RL). This approach is essential for applications where agents must balance trade-offs between diverse goals, such as speed, energy efficiency, or stability, as a series of sequential decisions. This paper investigates the applicability and limitations of multi-objective evolutionary algorithms (MOEAs) in solving complex MORL problems. We assess whether these algorithms can effectively address the unique challenges posed by MORL and how MORL instances can serve as benchmarks to evaluate and improve MOEA performance. In particular, we propose a framework to characterize the features influencing MORL instance complexity, select representative MORL problems from the literature, and benchmark a suite of MOEAs alongside single-objective EAs using scalarized MORL formulations. Additionally, we evaluate the utility of existing multi-objective quality indicators in MORL scenarios, such as hypervolume conducting a comparison of the algorithms supported by statistical analysis. Our findings provide insights into the interplay between MORL problem characteristics and algorithmic effectiveness, highlighting opportunities for advancing both MORL research and the design of evolutionary algorithms."
"4","Hot off the Press: Finding ϵ-Locally Optimal Solutions for Multi-Objective Multimodal Optimization","2025","Rodriguez-Fernandez, Angel E.; Schütze, Oliver; Schäpermeier, Lennart; Kerschke, Pascal; Hernández Castellanos, Carlos; Trautmann, Heike","Angel E. Rodriguez-Fernandez: Cinvestav, Mexico City, Mexico; Oliver Schütze: Cinvestav, Mexico City, Mexico; Lennart Schäpermeier: TU Dresden & ScaDS.AI Dresden/Leipzig, Dresden, Germany; Pascal Kerschke: TU Dresden & ScaDS.AI Dresden/Leipzig, Dresden, Germany; Carlos Hernández Castellanos: IIMAS-UNAM, Mexico City, Mexico; Heike Trautmann: University of Paderborn, Paderborn, Germany","Heike Trautmann: University of Twente, Enschede, Netherlands","979-8-4007-1464-1","N/D","10.1145/3712255.3734260","https://doi.org/10.1145/3712255.3734260","IA","","multi-objective optimization; evolutionary computation; multimodal optimization; local solutions","Here we briefly summarize the main findings of the above mentioned paper by Rodriguez-Fernandez et al., 2024 [4]. In this work, the authors address the problem of computing all locally optimal solutions of a given multi-objective problem whose images are sufficiently close to the Pareto front. Such ϵ-locally optimal solutions are particularly interesting in the context of multi-objective multimodal optimization (MMO). To this end, first a new set of interest, LQ,ϵ, is defined. Second, a new unbounded archiver, ArchiveUpdateLQ,ϵ, is proposed that aims to capture this set in the limit. Third, several MOEAs are equipped with ArchiveUpdateLQ,ϵ as external archiver and compared to their archive-free counterparts on selected benchmark problems. Finally, in order to make a fair comparison of the outcomes in particular for MOPs with a larger number of decision variables, a new performance indicator, IEDR, is proposed and used."
"6","A Cooperative Multi Indicator-Based Ant Colony Optimization Algorithm for the MOGenConVRP","2024","Velázquez Cruz, Rodrigo Fernando; Hernández Castellanos, Carlos Ignacio","Rodrigo Fernando Velázquez Cruz: Universidad Nacional Autónoma de México - Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Ciudad de México, México; Carlos Ignacio Hernández Castellanos: Universidad Nacional Autónoma de México - Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Ciudad de México, México","N/D","979-8-4007-0495-6","N/D","10.1145/3638530.3654416","https://doi.org/10.1145/3638530.3654416","IA","","ACO; quality indicators; approximated solutions; VRP; external archivers","Using quality indicators to guide the search on multi-objective evolutionary algorithms (MOEAs) is one of the most prominent approaches. Since quality indicators incorporate the preferences on the Pareto approximation and diversity of solutions. Recently, there has been an interest in algorithms based on the cooperation of multiple indicators, mostly using MOEAs as a baseline. We propose the Cooperative Multi Indicator-Based Ant Colony Optimization algorithm (cMIBACO). A novel algorithm based on the cooperation of three quality indicators (hypervolume, ϵ+, R2) to improve the diversity and avoid premature convergence to a local optimum. This algorithm uses an external archive to obtain the set of approximated solutions. We tested the algorithm against indicator-based ACOs on several instances of the Multi-objective Generalized Consistent Vehicle Routing Problem (MOGenConVRP) and investigated for statistical significance. Our experimental results show that cMIBACO has competitive results to the state-of-the-art and opens the door for further research in this direction."
"7","Finding the Set of Nearly Optimal Solutions of a Multi-objective Optimization Problem","2025","Schütze, Oliver; Rodriguez-Fernandez, Angel E.; Segura, Carlos; Hernández Castellanos, Carlos","Oliver Schütze: Cinvestav, Mexico City, Mexico; Angel E. Rodriguez-Fernandez: Cinvestav, Mexico City, Mexico; Carlos Segura: CIMAT, Guanajuato, Mexico; Carlos Hernández Castellanos: IIMAS-UNAM, Mexico City, Mexico","N/D","979-8-4007-1464-1","N/D","10.1145/3712255.3734259","https://doi.org/10.1145/3712255.3734259","IA","","multi-objective optimization; archiving; nearly optimal solutions; convergence analysis","Here we briefly summarize the main findings of the above mentioned paper by Schütze et al., 2024. In this work, the authors argue that the entire set of nearly optimal solutions of a given multi-objective optimization problem (MOP) is of potential interest for the decision maker (DM) to realize his/her project. To be more precise, in this work, first, a new set of interest, NQ,ϵ, is proposed. Next, an unbounded archiver that aims to capture this set is proposed and analyzed. Further, four different subset selection strategies and a new performance indicator tailored to the problem at hand are proposed and discussed. Finally, the behavior of the archiver as external archiver within several multi-objective evolutionary algorithms (MOEAs) is presented indicating the benefit of the novel approach."
"9","MouseClicker: Exploring Tactile Feedback and Physical Agency for People with Hand Motor Impairments","2024","Taheri, Atieh; Gomez-Monroy, Carlos Gilberto; Borja, Vicente; Sra, Misha","Atieh Taheri: University of California, Santa Barbara, USA; Carlos Gilberto Gomez-Monroy: Universidad Nacional Autónoma de México, Mexico City, Mexico; Vicente Borja: Universidad Nacional Autónoma de México, Mexico City, Mexico; Misha Sra: University of California, Santa Barbara, USA","N/D","N/D","1936-7228","10.1145/3648685","https://doi.org/10.1145/3648685","IA","","Hand motor impairments; holistic inclusion; haptic feedback; facial expressions; hands-free input; computer mouse","Assistive technology (AT) design is critical in enabling functionality for people with disabilities, blending essential elements of both practical utility and user experience. Traditionally, AT has successfully addressed core functional needs, such as enabling cursor movement and clicking actions with devices like computer mice. However, a comprehensive approach to AT design also necessitates a thorough consideration of sensory feedback, including tactile sensations, ergonomics, and auditory cues like button click sounds. These aspects are not merely supplementary but are integral to the device’s functionality, enhancing user interaction and long-term comfort, especially for individuals with motor impairments. In this work, we present MouseClicker, a mechatronic AT to surrogate physical agency over a computer mouse and to foster the haptic sensory experience of clicking on it tailored specifically for an individual with Spinal Muscular Atrophy (SMA) who faces challenges in using a standard mouse due to severe hand motor impairments. Our design aims at replicating the holistic experience of clicking a mouse, from its functional mechanical actions to its nuanced tactile and auditory feedback. This work details the MouseClicker’s design and reports on an exploratory user study aimed at identifying optimal vibrotactile feedback parameters – such as location, and intensity – that represent mouse button clicks. MouseClicker presents a step forward in AT design by integrating the functionality, sensory feedback, and the overall experience of taking control over non-AT devices."
"10","Unveiling AI-Driven Collective Action for a Worker-Centric Future","2024","Savage, Saiph","Saiph Savage: Northeastern University, Boston, MA, USA","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","979-8-4007-0371-3","N/D","10.1145/3616855.3637633","https://doi.org/10.1145/3616855.3637633","IA","","collective action; cscw; future of work; gig work; hci; human centered ai.","Collective action by gig knowledge workers is a potent method for enhancing labor conditions on platforms like Upwork, Amazon Mechanical Turk, and Toloka. However, this type of collective action is still rare today. Existing systems for supporting collective action are inadequate for workers to identify and understand their different workplace problems, plan effective solutions, and put the solutions into action. This talk will discuss how with my research lab we are creating worker-centric AI enhanced technologies that enable collective action among gig knowledge workers. Building solid AI enhanced technologies to enable gig worker collective action will pave the way for a fair and ethical gig economy-one with fair wages, humane working conditions, and increased job security. I will discuss how my proposed approach involves first integrating ""sousveillance,"" a concept by Foucault, into the technologies. Sousveillance involves individuals or groups using surveillance tools to monitor and record those in positions of power. In this case, the technologies enable gig workers to monitor their workplace and their algorithmic bosses, giving them access to their own workplace data for the first time. This facilitates the first stage of collective action: problem identification. I will then discuss how we combine this data with Large-Language-Models (LLMs) and social theories to create intelligent assistants that guide workers to complete collective action via sensemaking and solution implementation. The talk will present a set of case studies to showcase this vision of designing data driven AI technologies to power gig worker collective action. In particular, I will present the systems: 1) GigSousveillance which allows workers to monitor and collect their own job-related data, facilitating quantification of workplace problems; 2) GigSense equips workers with an AI assistant that facilitates sensemaking of their work problems, helping workers to strategically devise solutions to their challenges; 3) GigAction is an AI assistant that guides workers to implement their proposed solutions. I will discuss how we are designing and implementing these systems by adopting a participatory design approach with workers, while also conducting experiments and longitudinal deployments in the real world. I conclude by presenting a research agenda for transforming and rethinking the role of A. I. in our workplaces; and researching effective socio-technical solutions in favor of a worker-centric future and countering techno-authoritarianism."
"11","A Culturally-Aware AI Tool for Crowdworkers: Leveraging Chronemics to Support Diverse Work Styles","2024","Toxtli, Carlos; Curtis, Christopher; Savage, Saiph","Carlos Toxtli: Clemson University, USA; Christopher Curtis: Northeastern University, USA; Saiph Savage: Northeastern University, USA","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico","N/D","2573-0142","10.1145/3686899","https://doi.org/10.1145/3686899","IA","","AI; chronemics; crowdsourcing; culture; system","Crowdsourcing markets are expanding worldwide, but often feature standardized interfaces that ignore the cultural diversity of their workers, negatively impacting their well-being and productivity. To transform these workplace dynamics, this paper proposes creating culturally-aware workplace tools, specifically designed to adapt to the cultural dimensions of monochronic and polychronic work styles. We illustrate this approach with ""CultureFit,"" a tool that we engineered based on extensive research in Chronemics and culture theories. To study and evaluate our tool in the real world, we conducted a field experiment with 55 workers from 24 different countries. Our field experiment revealed that CultureFit significantly improved the earnings of workers from cultural backgrounds often overlooked in design. Our study is among the pioneering efforts to examine culturally aware digital labor interventions. It also provides access to a dataset with over two million data points on culture and digital work, which can be leveraged for future research in this emerging field. The paper concludes by discussing the importance and future possibilities of incorporating cultural insights into the design of tools for digital labor."
"12","Creative dialogue: evolving intent in designer-AI workflows","2025","Sattele, Vanessa","Vanessa Sattele: National Autonomous University of Mexico (UNAM), Industrial Design Research Center (CIDI), Mexico City, Mexico","N/D","979-8-4007-1289-0","N/D","10.1145/3698061.3734419","https://doi.org/10.1145/3698061.3734419","IA","","AI; co-creativity; creative process; design education; ideation","The aim of this doctoral research project is to study how the use of GenAI can influence the creative workflow and cognitive processes of product designers in formation. The focus is on the initial design stages of problem-solution framing and concept creation/exploration. As a first step, a literature review has been performed to identify the different variables that might influence results in similar studies. A second phase involves exploratory studies with bachelor level product design students. Based on the findings, a series of rapid design prototypes proposing new ways of interaction with GenAI will be tested and evaluated. The main contributions of this project are the development of principles and new models for co-creation that can support the evolutive process of design intention during the ideation process and assist designers in formation to develop their creative potential."
"13","Fostering Latin American-Centric CSCW Research and Practice","2024","Gutierrez, Francisco J.; Gaytán-Lugo, Laura S.; Lopez, Gustavo; Candello, Heloisa; Vivacqua, Adriana S.; Wong-Villacres, Marisol; Griggio, Carla F.; Castro, Luis A.; Savage, Saiph; Lopez, Claudia; de Souza, Cleidson R. B.","Francisco J. Gutierrez: Department of Computer Science, University of Chile, Santiago, Chile; Laura S. Gaytán-Lugo: Universidad de Colima, Coquimatlán, Mexico; Gustavo Lopez: Universidad de Costa Rica, San Jose, Costa Rica; Heloisa Candello: IBM Research, Sao Paulo, Brazil; Adriana S. Vivacqua: Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Marisol Wong-Villacres: Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador; Carla F. Griggio: Aalborg University, Copenhagen, Denmark; Luis A. Castro: Instituto Tecnológico de Sonora (ITSON), Ciudad Obregón, Mexico; Saiph Savage: Northeastern University, USA; Claudia Lopez: Universidad Técnica Federico Santa María, Valparaíso, Chile; Cleidson R. B. de Souza: Federal University of Pará, Belém, Brazil","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico","979-8-4007-1114-5","N/D","10.1145/3678884.3681837","https://doi.org/10.1145/3678884.3681837","IA","","collaboration; latin america; regional cooperation; research and practice opportunities","This year, CSCW is coming to Latin America for the first time. In this workshop, we aim to position the region as a common context that brings together students, academics, as well as industry researchers and practitioners interested in studying, designing, developing, deploying, and/or evaluating CSCW and social computing technology, addressing challenges either emerging from or impacting Latin America. Previous initiatives have explored or highlighted the potential of Latin America for CSCW research, and this one-day workshop seeks to build on that foundation. Our objectives are to: (1) Bring together researchers, practitioners, and students interested in engaging with Latin America through their research and practice; (2) Discuss the opportunities and challenges of conducting CSCW research centered on Latin America; (3) Collaboratively mentor emerging projects focused on Latin America; (4) Advance 5-year collaborative research agendas among existing CSCW Latin America research groups; and (5) Increase the visibility of Latin American research projects within the broader international CSCW community. We will invite senior CSCW researchers from Latin America and other regions to discuss the work presented at the event. This workshop seeks to enrich the global conversation on CSCW and highlight and strengthen Latin America's unique contributions to this field."
